"State, County",Population
"Annual Estimates of the Resident Population for Counties in Virginia: April 1, 2020 to July 1, 2024",
Geographic Area,
,2024
Virginia,8811195
".Accomack County, Virginia",33411
".Albemarle County, Virginia",117313
".Alleghany County, Virginia",14632
".Amelia County, Virginia",13716
".Amherst County, Virginia",31650
".Appomattox County, Virginia",16957
".Arlington County, Virginia",239807
".Augusta County, Virginia",78622
".Bath County, Virginia",4071
".Bedford County, Virginia",82182
".Bland County, Virginia",6186
".Botetourt County, Virginia",34129
".Brunswick County, Virginia",15750
".Buchanan County, Virginia",18632
".Buckingham County, Virginia",17115
".Campbell County, Virginia",55342
".Caroline County, Virginia",33477
".Carroll County, Virginia",29242
".Charles City County, Virginia",6564
".Charlotte County, Virginia",11258
".Chesterfield County, Virginia",389793
".Clarke County, Virginia",15598
".Craig County, Virginia",4829
".Culpeper County, Virginia",56125
".Cumberland County, Virginia",10062
".Dickenson County, Virginia",13411
".Dinwiddie County, Virginia",28576
".Essex County, Virginia",10683
".Fairfax County, Virginia",1160925
".Fauquier County, Virginia",75865
".Floyd County, Virginia",15658
".Fluvanna County, Virginia",28746
".Franklin County, Virginia",55637
".Frederick County, Virginia",98109
".Giles County, Virginia",16533
".Gloucester County, Virginia",40154
".Goochland County, Virginia",28223
".Grayson County, Virginia",15265
".Greene County, Virginia",21744
".Greensville County, Virginia",11150
".Halifax County, Virginia",33448
".Hanover County, Virginia",115309
".Henrico County, Virginia",338696
".Henry County, Virginia",49385
".Highland County, Virginia",2348
".Isle of Wight County, Virginia",40942
".James City County, Virginia",82797
".King and Queen County, Virginia",6747
".King George County, Virginia",28816
".King William County, Virginia",19232
".Lancaster County, Virginia",11062
".Lee County, Virginia",21780
".Loudoun County, Virginia",443380
".Louisa County, Virginia",42109
".Lunenburg County, Virginia",12060
".Madison County, Virginia",14252
".Mathews County, Virginia",8602
".Mecklenburg County, Virginia",30824
".Middlesex County, Virginia",10949
".Montgomery County, Virginia",98998
".Nelson County, Virginia",14766
".New Kent County, Virginia",27218
".Northampton County, Virginia",12004
".Northumberland County, Virginia",12397
".Nottoway County, Virginia",15632
".Orange County, Virginia",38986
".Page County, Virginia",23686
".Patrick County, Virginia",17308
".Pittsylvania County, Virginia",59410
".Powhatan County, Virginia",32392
".Prince Edward County, Virginia",22276
".Prince George County, Virginia",43589
".Prince William County, Virginia",497003
".Pulaski County, Virginia",33579
".Rappahannock County, Virginia",7479
".Richmond County, Virginia",9215
".Roanoke County, Virginia",97334
".Rockbridge County, Virginia",22368
".Rockingham County, Virginia",87674
".Russell County, Virginia",25420
".Scott County, Virginia",21388
".Shenandoah County, Virginia",45441
".Smyth County, Virginia",29137
".Southampton County, Virginia",17941
".Spotsylvania County, Virginia",152021
".Stafford County, Virginia",168919
".Surry County, Virginia",6579
".Sussex County, Virginia",10753
".Tazewell County, Virginia",38875
".Warren County, Virginia",42461
".Washington County, Virginia",54098
".Westmoreland County, Virginia",19235
".Wise County, Virginia",34973
".Wythe County, Virginia",28100
".York County, Virginia",71410
".Alexandria city, Virginia",159102
".Bristol city, Virginia",16316
".Buena Vista city, Virginia",6581
".Charlottesville city, Virginia",44767
".Chesapeake city, Virginia",254997
".Colonial Heights city, Virginia",18674
".Covington city, Virginia",5663
".Danville city, Virginia",41993
".Emporia city, Virginia",5402
".Fairfax city, Virginia",26340
".Falls Church city, Virginia",15034
".Franklin city, Virginia",8373
".Fredericksburg city, Virginia",29992
".Galax city, Virginia",6739
".Hampton city, Virginia",137596
".Harrisonburg city, Virginia",51164
".Hopewell city, Virginia",22970
".Lexington city, Virginia",7802
".Lynchburg city, Virginia",80301
".Manassas city, Virginia",43616
".Manassas Park city, Virginia",16611
".Martinsville city, Virginia",13834
".Newport News city, Virginia",183056
".Norfolk city, Virginia",231105
".Norton city, Virginia",3478
".Petersburg city, Virginia",34058
".Poquoson city, Virginia",12854
".Portsmouth city, Virginia",96482
".Radford city, Virginia",17273
".Richmond city, Virginia",233655
".Roanoke city, Virginia",97912
".Salem city, Virginia",25908
".Staunton city, Virginia",26361
".Suffolk city, Virginia",103105
".Virginia Beach city, Virginia",454808
".Waynesboro city, Virginia",23498
".Williamsburg city, Virginia",16030
".Winchester city, Virginia",27800
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0078).",
"Note: The estimates are developed from a base that integrates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates.  For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2024 population estimates series are as of January 1, 2024.",
Suggested Citation:,
"Annual Estimates of the Resident Population for Counties in Virginia: April 1, 2020 to July 1, 2024 (CO-EST2024-POP-51)",
"Source: U.S. Census Bureau, Population Division",
Release Date: March 2025,
